3947b1a6 dev_vprintk_emit
3fd563ed devfreq_add_device
37c2a55c devfreq_add_governor
c80dfe30 devfreq_monitor_resume
c80dfe30 devfreq_monitor_start
c80dfe30 devfreq_monitor_stop
c80dfe30 devfreq_monitor_suspend
43707a9b devfreq_recommended_opp
0dd8bbf9 devfreq_register_opp_notifier
3da9f206 devfreq_remove_device
37c2a55c devfreq_remove_governor
3da9f206 devfreq_resume_device
3da9f206 devfreq_suspend_device
0dd8bbf9 devfreq_unregister_opp_notifier
7da68258 devfreq_update_interval
6965c71a devfreq_update_status
3b3bd2ad device_add_disk
89ca15cf device_get_ethdev_address
b3412171 device_get_mac_address
2ab265fb devm_alloc_etherdev_mqs
20117d8e devm_backlight_device_register
3200448b devm_backlight_device_unregister
f92eae1a devm_clk_get
f92eae1a devm_clk_get_optional
56ed1224 devm_clk_hw_register_clkdev
eff8beb8 devm_clk_put
3fd563ed devm_devfreq_add_device
89b196de devm_devfreq_register_notifier
ef07f58f devm_devfreq_remove_device
fd885604 devm_devfreq_unregister_notifier
eb9c29ea devm_drm_bridge_add
e8dadf6b devm_drm_of_get_bridge
367a9472 devm_drm_panel_bridge_add
9ba48372 devm_drm_panel_bridge_add_typed
f9dbf949 devm_extcon_register_notifier
42a0e6e7 devm_extcon_register_notifier_all
a792bbd4 devm_free_irq
cf60ad58 devm_gen_pool_create
39f7569d devm_get_clk_from_child
837323f0 devm_input_allocate_device
6d7dac4a devm_ioremap
fc3a1f89 devm_ioremap_resource
6d7dac4a devm_ioremap_wc
5fdac2f7 devm_iounmap
71cac025 devm_kvasprintf
5cdfa1bb devm_mdiobus_alloc_size
c0c87a6e devm_memremap
e9c485c3 devm_memunmap
88a444ec devm_mfd_add_devices
43af701e devm_mmc_alloc_host
8039fc70 devm_of_iomap
2b2f7eca devm_pci_alloc_host_bridge
4968fadf devm_pci_remap_cfg_resource
c41999c2 devm_pci_remap_cfgspace
58c06860 devm_register_reboot_notifier
